ID_Jugador;Nombre;Apellidos;Nacionalidad;Fecha_Nacimiento
253677;Giorgia;Patti;ITA;20060717
257867;Sofia;Cohen Perovani;BRA;20060716
230878;Chantal;Kamel;EGY;20060711
242446;Dana;Mousa;EGY;20060711
252501;Madison;Hill;USA;20060710
230126;Habiba;Elgerby;EGY;20060708
249667;Kitti;Molnar;HUN;20060706
252512;Jessica;Franke;GER;20060703
252580;Taira;Abildayeva;KAZ;20060701
231631;Salma;Yassin Hosny;EGY;20060623
238081;Carolina;Mesquita;POR;20060623
223450;Ceylin;Ipek;TUR;20060622
252543;Jessica;Bernales;USA;20060622
232894;Sena;Varol;TUR;20060620
254729;Olivia;Carneiro;BRA;20060619
236968;Lourdes;Ayala;ARG;20060618
233736;Zeynep;Erbakan;TUR;20060617
233737;Defne;Erbakan;TUR;20060617
256675;Maria Paula;Ramos Garcia;GTM;20060617
252546;Ella;Ecker;USA;20060614
223446;Ghalia;Guizani;TUN;20060613
232893;Linda;Ajimi;TUN;20060612
242448;Grete;Gull;EST;20060612
256708;Bianca;Molnar;USA;20060608
236988;Sara;Borkop;DEN;20060604
252596;Sophie Mahin;Schäfer;GER;20060601
232446;Noemie;Oliveras;FRA;20060523
232869;Aiya;Nupbay;KAZ;20060522
240164;Ketevan;Jeladze;GEO;20060522
238180;Andrea Camila;Robles Cuellar;ECU;20060520
248667;Esther;Vyrlan;USA;20060519
247658;Sofia Loren;Muñoz Muñoz;COL;20060518
239392;Mia;Ristic;SRB;20060517
257883;Gabriela;Felix Da Silva;BRA;20060517
247672;Chelsea;Chakanyuka;BWA;20060516
232445;Malak;Abdel Fattah;EGY;20060515
247646;Carla;Fity;FRA;20060511
228109;Dilara;Okur;NED;20060510
255640;Daniela Valentina;Tijaro;COL;20060509
252585;Amelie Nicole;Jewelewicz;USA;20060508
246493;Elena Ruxandra;Bertea;ROU;20060506
246510;Amina;El Hagrassy;EGY;20060505
230873;Jana;Elgebily;EGY;20060504
234474;Alyssa;Reguer;FRA;20060504
237463;Janel;Ospanova;KAZ;20060504
223680;Hannah;Rylatt;GBR;20060503
246498;María Paula;Trujillo;COL;20060503
223453;Brooklyn;Olson;USA;20060502
