ID_Jugador,Nombre,Apellidos,Sexo,Nacionalidad,Fecha_nacimiento
117950,Royce,Ramey,H,USA,1980-02-04
125058,Orlando,Araujo,H,POR,1980-02-04
103502,Ben,Mathias,H,AUS,1980-02-05
103503,Robin,Vik,H,CZE,1980-02-05
121470,Valentin,Bazunov,H,RUS,1980-02-05
123070,Mateo,Fiol Bibiloni,H,ESP,1980-02-05
130683,Tomi,Winnig,H,BRA,1980-02-05
139347,Mark,Randal,H,AUS,1980-02-05
117552,Kai,Schmid,H,GER,1980-02-06
140390,Matthew,Clair,H,AUS,1980-02-06
140666,Amado,Silva,H,PAR,1980-02-06
141921,Ted,Burghardt,H,USA,1980-02-06
117595,Frank,Eicher,H,LUX,1980-02-07
128344,Ryousuke,Yokoi,H,JPN,1980-02-07
131457,Mark,Pichler,H,AUT,1980-02-07
140662,Daniel,Carlsson,H,SWE,1980-02-07
144150,Michael,Korte,H,GER,1980-02-07
203132,Gerard,Dericks,H,USA,1980-02-07
111277,Agim,Kurti,H,AUS,1980-02-08
204260,Mauro,Rodighiero,H,ITA,1980-02-08
103504,Febi,Widhiyanto,H,INA,1980-02-09
103505,Vasilis,Mazarakis,H,GRE,1980-02-09
111688,Nakia,Gordon,H,JAM,1980-02-09
118051,Georgyi,Margishvili,H,GEO,1980-02-09
120216,Sylvain,Ruest,H,CAN,1980-02-09
128304,Kiril,Popov,H,BUL,1980-02-09
103506,Martin,Vassallo Arguello,H,ARG,1980-02-10
139091,Sebastian,Fuentes,H,CHI,1980-02-10
111129,Mark,Kovacs,H,AUS,1980-02-11
117581,Pyry,Ollikainen,H,FIN,1980-02-11
118305,Tomas,Hajek,H,CZE,1980-02-11
103507,Juan Carlos,Ferrero,H,ESP,1980-02-12
117498,George,Kalanov,H,CYP,1980-02-12
118260,Daniel,Scholten,H,GER,1980-02-12
128329,Donik,Arabyan,H,BUL,1980-02-12
130608,Frank,Kuczera,H,GER,1980-02-12
139669,Martin,Rohricht,H,GER,1980-02-12
140184,Pierre Marc,Villeneuve,H,CAN,1980-02-12
205409,Albert,Mare,H,BUR,1980-02-12
130940,Jonathan,Lynch,H,IRL,1980-02-13
131479,Andrzei,Styperek,H,POL,1980-02-13
103508,Nick,McDonald,H,RSA,1980-02-14
130747,Alin,Grecea,H,ROU,1980-02-14
140879,Jan,Hebelka,H,CZE,1980-02-14
103509,Dino,Dattoli,H,AUS,1980-02-15
108594,Johnny,Arcilla,H,PHI,1980-02-15
